date key,full date,day of week,day num in month,day num overall,day name,day abbrev,weekday flag,week num in year,week num overall,week begin date,week begin date key,month,month num overall,month name,month abbrev,quarter,year,yearmo,fiscal month,fiscal quarter,fiscal year,last day in month flag,same day year ago,,table insert statement
20080202,2/2/2008,6,2,33,Saturday,Sat,n,5,5,1/28/2008,20080128,2,2,February,Feb,1,2008,200802,8,3,2008,n,2/2/2007,,"insert into Date_Dimension values(20080202, '2008-2-2',6, 2, 33, 'Saturday', 'Sat', 'n', 5, 5, '2008-1-28', 20080128, 2, 2, 'February', 'Feb', 1, 2008, 200802, 8, 3, 2008, 'n', '2007-2-2')"
20080203,2/3/2008,7,3,34,Sunday,Sun,n,5,5,1/28/2008,20080128,2,2,February,Feb,1,2008,200802,8,3,2008,n,2/3/2007,,"insert into Date_Dimension values(20080203, '2008-2-3',7, 3, 34, 'Sunday', 'Sun', 'n', 5, 5, '2008-1-28', 20080128, 2, 2, 'February', 'Feb', 1, 2008, 200802, 8, 3, 2008, 'n', '2007-2-3')"
20080204,2/4/2008,1,4,35,Monday,Mon,y,6,6,2/4/2008,20080204,2,2,February,Feb,1,2008,200802,8,3,2008,n,2/4/2007,,"insert into Date_Dimension values(20080204, '2008-2-4',1, 4, 35, 'Monday', 'Mon', 'y', 6, 6, '2008-2-4', 20080204, 2, 2, 'February', 'Feb', 1, 2008, 200802, 8, 3, 2008, 'n', '2007-2-4')"
20080205,2/5/2008,2,5,36,Tuesday,Tue,y,6,6,2/4/2008,20080204,2,2,February,Feb,1,2008,200802,8,3,2008,n,2/5/2007,,"insert into Date_Dimension values(20080205, '2008-2-5',2, 5, 36, 'Tuesday', 'Tue', 'y', 6, 6, '2008-2-4', 20080204, 2, 2, 'February', 'Feb', 1, 2008, 200802, 8, 3, 2008, 'n', '2007-2-5')"
20080206,2/6/2008,3,6,37,Wednesday,Wed,y,6,6,2/4/2008,20080204,2,2,February,Feb,1,2008,200802,8,3,2008,n,2/6/2007,,"insert into Date_Dimension values(20080206, '2008-2-6',3, 6, 37, 'Wednesday', 'Wed', 'y', 6, 6, '2008-2-4', 20080204, 2, 2, 'February', 'Feb', 1, 2008, 200802, 8, 3, 2008, 'n', '2007-2-6')"
20080207,2/7/2008,4,7,38,Thursday,Thu,y,6,6,2/4/2008,20080204,2,2,February,Feb,1,2008,200802,8,3,2008,n,2/7/2007,,"insert into Date_Dimension values(20080207, '2008-2-7',4, 7, 38, 'Thursday', 'Thu', 'y', 6, 6, '2008-2-4', 20080204, 2, 2, 'February', 'Feb', 1, 2008, 200802, 8, 3, 2008, 'n', '2007-2-7')"
20080208,2/8/2008,5,8,39,Friday,Fri,y,6,6,2/4/2008,20080204,2,2,February,Feb,1,2008,200802,8,3,2008,n,2/8/2007,,"insert into Date_Dimension values(20080208, '2008-2-8',5, 8, 39, 'Friday', 'Fri', 'y', 6, 6, '2008-2-4', 20080204, 2, 2, 'February', 'Feb', 1, 2008, 200802, 8, 3, 2008, 'n', '2007-2-8')"
20080209,2/9/2008,6,9,40,Saturday,Sat,n,6,6,2/4/2008,20080204,2,2,February,Feb,1,2008,200802,8,3,2008,n,2/9/2007,,"insert into Date_Dimension values(20080209, '2008-2-9',6, 9, 40, 'Saturday', 'Sat', 'n', 6, 6, '2008-2-4', 20080204, 2, 2, 'February', 'Feb', 1, 2008, 200802, 8, 3, 2008, 'n', '2007-2-9')"
20080210,2/10/2008,7,10,41,Sunday,Sun,n,6,6,2/4/2008,20080204,2,2,February,Feb,1,2008,200802,8,3,2008,n,2/10/2007,,"insert into Date_Dimension values(20080210, '2008-2-10',7, 10, 41, 'Sunday', 'Sun', 'n', 6, 6, '2008-2-4', 20080204, 2, 2, 'February', 'Feb', 1, 2008, 200802, 8, 3, 2008, 'n', '2007-2-10')"
20080211,2/11/2008,1,11,42,Monday,Mon,y,7,7,2/11/2008,20080211,2,2,February,Feb,1,2008,200802,8,3,2008,n,2/11/2007,,"insert into Date_Dimension values(20080211, '2008-2-11',1, 11, 42, 'Monday', 'Mon', 'y', 7, 7, '2008-2-11', 20080211, 2, 2, 'February', 'Feb', 1, 2008, 200802, 8, 3, 2008, 'n', '2007-2-11')"
20080212,2/12/2008,2,12,43,Tuesday,Tue,y,7,7,2/11/2008,20080211,2,2,February,Feb,1,2008,200802,8,3,2008,n,2/12/2007,,"insert into Date_Dimension values(20080212, '2008-2-12',2, 12, 43, 'Tuesday', 'Tue', 'y', 7, 7, '2008-2-11', 20080211, 2, 2, 'February', 'Feb', 1, 2008, 200802, 8, 3, 2008, 'n', '2007-2-12')"
20080213,2/13/2008,3,13,44,Wednesday,Wed,y,7,7,2/11/2008,20080211,2,2,February,Feb,1,2008,200802,8,3,2008,n,2/13/2007,,"insert into Date_Dimension values(20080213, '2008-2-13',3, 13, 44, 'Wednesday', 'Wed', 'y', 7, 7, '2008-2-11', 20080211, 2, 2, 'February', 'Feb', 1, 2008, 200802, 8, 3, 2008, 'n', '2007-2-13')"
